"year","A","C","I","pct_AV","adoption","r","s","i","scenario"
19,50612784.6402788,223281062.736659,1,0.226677462118551,0.3,12000,5000,0.2,"Aggressive"
20,51569889.7154593,222651388.345092,1,0.23161719358125,0.3,12000,5000,0.2,"Aggressive"
21,52459997.4353771,222065791.160936,1,0.236236284576395,0.3,12000,5000,0.2,"Aggressive"
22,53287797.6149007,221521185.77967,1,0.240553956170593,0.3,12000,5000,0.2,"Aggressive"
23,54057651.7818577,221014702.775093,1,0.244588487114666,0.3,12000,5000,0.2,"Aggressive"
24,54773616.1571276,220543673.580837,1,0.248357231326571,0.3,12000,5000,0.2,"Aggressive"
25,55439463.0261287,220105616.430178,1,0.251876639611853,0.3,12000,5000,0.2,"Aggressive"
26,56058700.6142997,219698223.280066,1,0.255162284780234,0.3,12000,5000,0.2,"Aggressive"
27,56634591.5712987,219319347.650461,1,0.258228889416358,0.3,12000,5000,0.2,"Aggressive"
28,57170170.1613078,218966993.314929,1,0.261090355655032,0.3,12000,5000,0.2,"Aggressive"
29,57668258.2500162,218639303.782884,1,0.263759796396364,0.3,12000,5000,0.2,"Aggressive"
30,58131480.1725151,218334552.518082,1,0.266249567473755,0.3,12000,5000,0.2,"Aggressive"
